Training started at 2026-04-08 23:46:44.493567
================================================================================
Episode 1: Reward=-340.80, Cost=3407967.08, Length=500
Episode 2: Reward=-346.35, Cost=3463538.92, Length=500
Episode 3: Reward=-375.83, Cost=3758298.97, Length=500
Episode 4: Reward=-370.60, Cost=3706017.89, Length=500
Episode 5: Reward=-373.33, Cost=3733307.05, Length=500
Episode 6: Reward=-358.27, Cost=3582665.96, Length=500
Episode 7: Reward=-368.68, Cost=3686805.16, Length=500
Episode 8: Reward=-371.29, Cost=3712880.69, Length=500
Episode 9: Reward=-362.68, Cost=3626818.37, Length=500
Episode 10: Reward=-377.13, Cost=3771291.90, Length=500
Episode 11: Reward=-376.70, Cost=3766950.63, Length=500
Episode 12: Reward=-366.45, Cost=3664477.85, Length=500
Episode 13: Reward=-378.10, Cost=3780985.38, Length=500
Episode 14: Reward=-381.75, Cost=3817505.48, Length=500
Episode 15: Reward=-374.50, Cost=3745018.45, Length=500
Episode 16: Reward=-378.78, Cost=3787763.99, Length=500
Episode 17: Reward=-381.75, Cost=3817486.31, Length=500
Episode 18: Reward=-375.80, Cost=3758002.68, Length=500
Episode 19: Reward=-378.05, Cost=3780501.97, Length=500
Episode 20: Reward=-383.16, Cost=3831608.67, Length=500
Episode 21: Reward=-360.67, Cost=3606710.83, Length=500
Episode 22: Reward=-369.73, Cost=3697288.58, Length=500
Episode 23: Reward=-383.20, Cost=3831961.02, Length=500
Episode 24: Reward=-377.04, Cost=3770375.12, Length=500
Episode 25: Reward=-374.33, Cost=3743284.37, Length=500
Episode 26: Reward=-383.34, Cost=3833407.56, Length=500
Episode 27: Reward=-381.99, Cost=3819860.28, Length=500
Episode 28: Reward=-380.37, Cost=3803743.01, Length=500
Episode 29: Reward=-381.18, Cost=3811816.85, Length=500
Episode 30: Reward=-383.10, Cost=3830995.76, Length=500
Episode 31: Reward=-387.51, Cost=3875069.72, Length=500
Episode 32: Reward=-388.00, Cost=3879964.24, Length=500
Episode 33: Reward=-382.56, Cost=3825561.65, Length=500
Episode 34: Reward=-380.39, Cost=3803925.87, Length=500
Episode 35: Reward=-385.27, Cost=3852737.15, Length=500
Episode 36: Reward=-381.48, Cost=3814833.09, Length=500
