Training started at 2026-04-01 10:08:07.631039
================================================================================
Episode 1: Reward=-106875555.06, Cost=106875555.06, Length=1000
Episode 2: Reward=-100670073.05, Cost=100670073.05, Length=1000
Episode 3: Reward=-63765407.14, Cost=63765407.14, Length=1000
Episode 4: Reward=-64105611.86, Cost=64105611.86, Length=1000
Episode 5: Reward=-59007521.65, Cost=59007521.65, Length=1000
Episode 6: Reward=-57468960.54, Cost=57468960.54, Length=1000
Episode 7: Reward=-56943205.62, Cost=56943205.62, Length=1000
Episode 8: Reward=-60705278.99, Cost=60705278.99, Length=1000
Episode 9: Reward=-53145914.85, Cost=53145914.85, Length=1000
Episode 10: Reward=-56106235.78, Cost=56106235.78, Length=1000
Episode 11: Reward=-60711100.40, Cost=60711100.40, Length=1000
Episode 12: Reward=-56205947.68, Cost=56205947.68, Length=1000
Episode 13: Reward=-59273277.78, Cost=59273277.78, Length=1000
Episode 14: Reward=-62988980.60, Cost=62988980.60, Length=1000
Episode 15: Reward=-55261996.21, Cost=55261996.21, Length=1000
Episode 16: Reward=-69142625.81, Cost=69142625.81, Length=1000
Episode 17: Reward=-58552450.24, Cost=58552450.24, Length=1000
Episode 18: Reward=-52383519.53, Cost=52383519.53, Length=1000
Episode 19: Reward=-63383392.02, Cost=63383392.02, Length=1000
Episode 20: Reward=-55739562.42, Cost=55739562.42, Length=1000
Episode 21: Reward=-73452143.90, Cost=73452143.90, Length=1000
Episode 22: Reward=-64698342.22, Cost=64698342.22, Length=1000
Episode 23: Reward=-61019531.92, Cost=61019531.92, Length=1000
Episode 24: Reward=-65097999.44, Cost=65097999.44, Length=1000
Episode 25: Reward=-87657014.81, Cost=87657014.81, Length=1000
Episode 26: Reward=-57883641.02, Cost=57883641.02, Length=1000
Episode 27: Reward=-78139599.45, Cost=78139599.45, Length=1000
Episode 28: Reward=-81684107.31, Cost=81684107.31, Length=1000
Episode 29: Reward=-60407279.31, Cost=60407279.31, Length=1000
Episode 30: Reward=-62800927.17, Cost=62800927.17, Length=1000
Episode 31: Reward=-60292583.77, Cost=60292583.77, Length=1000
Episode 32: Reward=-57736528.39, Cost=57736528.39, Length=1000
Episode 33: Reward=-57959740.63, Cost=57959740.63, Length=1000
Episode 34: Reward=-55408135.30, Cost=55408135.30, Length=1000
Episode 35: Reward=-49822694.65, Cost=49822694.65, Length=1000
Episode 36: Reward=-71748714.80, Cost=71748714.80, Length=1000
Episode 37: Reward=-71435915.44, Cost=71435915.44, Length=1000
Episode 38: Reward=-57494248.28, Cost=57494248.28, Length=1000
Episode 39: Reward=-57856376.53, Cost=57856376.53, Length=1000
Episode 40: Reward=-64047299.43, Cost=64047299.43, Length=1000
Episode 41: Reward=-70443828.64, Cost=70443828.64, Length=1000
Episode 42: Reward=-72184840.05, Cost=72184840.05, Length=1000
Episode 43: Reward=-58037893.53, Cost=58037893.53, Length=1000
Episode 44: Reward=-47917499.17, Cost=47917499.17, Length=1000
Episode 45: Reward=-60357921.31, Cost=60357921.31, Length=1000
Episode 46: Reward=-50482997.25, Cost=50482997.25, Length=1000
Episode 47: Reward=-50746427.99, Cost=50746427.99, Length=1000
Episode 48: Reward=-47675395.49, Cost=47675395.49, Length=1000
Episode 49: Reward=-65400960.08, Cost=65400960.08, Length=1000
Episode 50: Reward=-44786047.86, Cost=44786047.86, Length=1000
Episode 51: Reward=-59974392.41, Cost=59974392.41, Length=1000
Episode 52: Reward=-65481915.51, Cost=65481915.51, Length=1000
Episode 53: Reward=-48085664.46, Cost=48085664.46, Length=1000
Episode 54: Reward=-83246501.03, Cost=83246501.03, Length=1000
Episode 55: Reward=-51095261.46, Cost=51095261.46, Length=1000
Episode 56: Reward=-56668816.96, Cost=56668816.96, Length=1000
Episode 57: Reward=-49830410.83, Cost=49830410.83, Length=1000
Episode 58: Reward=-66402872.09, Cost=66402872.09, Length=1000
Episode 59: Reward=-73496318.25, Cost=73496318.25, Length=1000
Episode 60: Reward=-61739410.35, Cost=61739410.35, Length=1000
Episode 61: Reward=-61953783.07, Cost=61953783.07, Length=1000
Episode 62: Reward=-60243228.12, Cost=60243228.12, Length=1000
Episode 63: Reward=-66402864.67, Cost=66402864.67, Length=1000
Episode 64: Reward=-51532984.42, Cost=51532984.42, Length=1000
Episode 65: Reward=-48500381.26, Cost=48500381.26, Length=1000
Episode 66: Reward=-51957639.98, Cost=51957639.98, Length=1000
Episode 67: Reward=-50180481.35, Cost=50180481.35, Length=1000
Episode 68: Reward=-46724607.41, Cost=46724607.41, Length=1000
